id;name;japaneseTitle;romaji;coverUrl;platforms;genre;japanExclusive;releaseDate;developer;publisher;difficulty;textComplexity;description;reason
1;Choplifter III;チョップリフターIII;Chopurifutā Surī;https://images.unsplash.com/photo-1635805737707-575885ab0820;Super Nintendo;Action;False;09-09-1994;Beam Software;Victor Interactive Software;playable;simple;Helicopter rescue mission game where players must save hostages while fighting enemy forces;Minimal text required to play. Gameplay is entirely visual and action-based.
2;Barkley Shut Up and Jam!;バークレーのシャットアップアンドジャム！;Bākurē no Shatto Appu ando Jamu!;https://images.unsplash.com/photo-1546519638-68e109498ffc;Super Nintendo;Sports;False;30-09-1994;Accolade;Accolade;playable;simple;Basketball game featuring Charles Barkley with arcade-style gameplay;Sports game with minimal text. Menu navigation is straightforward with universal icons.
3;Live A Live;ライブ・ア・ライブ;Raibu A Raibu;placeholder_url;Super Nintendo;RPG;True;02-09-1994;Square;Square;not-recommended;complex;RPG with multiple scenarios across different time periods;Heavy story-based RPG with complex menu systems and dialogue entirely in Japanese.
4;The Firemen;ザ・ファイヤーメン;Za Faiāmen;placeholder_url;Super Nintendo;Action;True;09-09-1994;Human Entertainment;Human Entertainment;playable;simple;Action game where you play as a firefighter;Minimal text required, gameplay is intuitive and action-based.
5;Bounty Sword;バウンティ ソード;Baunti Sōdo;placeholder_url;Super Nintendo;RPG;True;08-09-1995;ITL;Pioneer LDC;not-recommended;complex;Fantasy RPG with turn-based combat;Heavy Japanese text requirements for story and menu navigation.
6;Super Jinsei Game 2;スーパー人生ゲーム2;Sūpā Jinsei Gēmu 2;placeholder_url;Super Nintendo;Board Game;True;08-09-1995;Takara;Takara;not-recommended;complex;Japanese board game adaptation;Heavy text-based game with all instructions and cards in Japanese.
7;Seiken Densetsu 3;聖剣伝説3;Seiken Densetsu Surī;placeholder_url;Super Nintendo;RPG;True;30-09-1995;Square;Square;not-recommended;complex;Action RPG with multiple character paths;Complex story and menu systems entirely in Japanese make progression difficult.
8;Bike Daisuki! Hashiriya Kon;バイク大好き! 走り屋魂;Baiku Daisuki! Hashiriya Kon;placeholder_url;Super Nintendo;Racing;True;30-09-1994;Genki;Masaya;caution;simple;Motorcycle racing game;Menu navigation in Japanese but gameplay is mostly visual.
9;Down the World: Mervil's Ambition;ダウン・ザ・ワールド;Daun za Wārudo;placeholder_url;Super Nintendo;RPG;True;30-09-1994;ASCII Entertainment;ASCII Entertainment;not-recommended;complex;RPG with unique battle system;Story-heavy RPG requiring Japanese knowledge for progression.
10;HammerLock Wrestling;ハンマーロックレスリング;Hanmārokku Resuringu;placeholder_url;Super Nintendo;Sports;False;30-09-1994;Jaleco;Jaleco;playable;simple;Wrestling game;Minimal text needed, gameplay is action-based and intuitive.
11;Human Grand Prix III: F1 Triple Battle;ヒューマングランプリIII;Hyūman Guran Puri Surī;placeholder_url;Super Nintendo;Racing;True;30-09-1994;Human Entertainment;Human Entertainment;playable;simple;F1 racing simulation;Racing game with minimal text requirements.
12;The Incredible Crash Dummies;クラッシュダミーズ;Kurasshu Damīzu;placeholder_url;Super Nintendo;Platform;False;30-09-1994;Gray Matter;Acclaim Entertainment;playable;simple;Platform game based on the toy line;Straightforward platforming with minimal text needed.
13;Keiba Eight Special 2;競馬エイトスペシャル2;Keiba Eito Supesharu 2;placeholder_url;Super Nintendo;Simulation;True;30-09-1994;C-Lab;Imagineer;not-recommended;complex;Horse racing simulation;Complex menus and betting system require Japanese knowledge.
14;Mahjong Taikai II;麻雀大会II;Mājan Taikai II;placeholder_url;Super Nintendo;Board Game;True;30-09-1994;Unknown;Koei;not-recommended;complex;Traditional mahjong game;Requires understanding of mahjong rules and Japanese text.
15;Virtual Bart;バーチャルバート;Bācharu Bāto;placeholder_url;Super Nintendo;Platform;False;30-09-1994;Sculptured Software;Acclaim Entertainment;playable;simple;The Simpsons themed platform game;Simple platforming with minimal text requirements.
16;Super Turrican;スーパーターリカン;Sūpā Tārikan;placeholder_url;Super Nintendo;Action;False;03-09-1993;Factor 5;Tonkin House;playable;simple;Run-and-gun action game;Action-focused gameplay with minimal text needed.
17;A-Train III;A列車で行こう3;Ē Ressha de Ikō Surī;placeholder_url;Super Nintendo;Simulation;True;29-09-1995;Pack-In-Video;Artdink;not-recommended;complex;Train management simulation;Complex simulation with extensive Japanese menus and instructions.
18;Derby Jockey 2;ダービージョッキー2;Dābī Jokkī 2;placeholder_url;Super Nintendo;Simulation;True;29-09-1995;Graphic Research;Asmik Ace Entertainment;not-recommended;complex;Horse racing simulation;Detailed racing simulation with complex Japanese menus.
19;Magic Knight Rayearth;魔法騎士レイアース;Mahō Kishi Reiāsu;placeholder_url;Super Nintendo;RPG;True;29-09-1995;Pandora Box;Tomy;not-recommended;complex;RPG based on the anime series;Story-heavy RPG requiring Japanese knowledge.
20;Metal Max Returns;メタルマックスリターンズ;Metaru Makkusu Ritānzu;placeholder_url;Super Nintendo;RPG;True;29-09-1995;Crea-Tech;Data East;not-recommended;complex;Post-apocalyptic RPG;Complex story and systems requiring Japanese knowledge.
21;NBA Give 'n Go;NBAジャイブンゴー;NBA Jaibu n Gō;placeholder_url;Super Nintendo;Sports;False;29-09-1995;Konami;Konami;playable;simple;Basketball simulation;Sports game with intuitive controls and minimal text.
22;Sgt. Saunders' Combat!;サージェント・サンダース・コンバット;Sājento Sandāsu Konbatto;placeholder_url;Super Nintendo;Action;False;29-09-1995;Play Avenue;ASCII Entertainment;playable;simple;World War II action game;Action-focused gameplay with minimal text requirements.
23;Wedding Peach;ウェディングピーチ;Wedingu Pīchi;placeholder_url;Super Nintendo;Action;True;29-09-1995;Shimada Kikaku;KSS;not-recommended;complex;Anime-based action game;Story-heavy with significant Japanese text requirements.
24;Wizardry VI;ウィザードリィVI;Wizādorī VI;placeholder_url;Super Nintendo;RPG;True;29-09-1995;Game Studio;ASCII Entertainment;not-recommended;complex;First-person dungeon RPG;Complex RPG mechanics and story requiring Japanese knowledge.
25;Dragon Ball Z: Super Butōden 3;ドラゴンボールZ 超武闘伝3;Doragon Bōru Zetto Chō Butōden 3;placeholder_url;Super Nintendo;Fighting;False;29-09-1994;Tose;Bandai;playable;simple;Fighting game based on Dragon Ball;Fighting game with intuitive controls and minimal text.
26;Wings 2: Aces High;ウィングス2;Wingusu 2;placeholder_url;Super Nintendo;Shoot 'em up;False;29-09-1992;Malibu Interactive;Namco;playable;simple;World War I flight combat;Action-focused aerial combat with minimal text.
27;Hamelin no Violin Tamaki;ハーメルンのバイオリン弾き;Hāmerun no Baiorin Hiki;placeholder_url;Super Nintendo;RPG;True;28-09-1995;Daft;Enix;not-recommended;complex;RPG based on German folklore;Story-heavy RPG requiring Japanese knowledge.
28;Monstania;モンスタニア;Monsutania;placeholder_url;Super Nintendo;Strategy;True;27-09-1996;Bits Laboratory;Pack-In-Video;not-recommended;complex;Fantasy strategy RPG;Complex strategy game with heavy Japanese text.
29;Dragon Quest V;ドラゴンクエストV;Doragon Kuesuto V;placeholder_url;Super Nintendo;RPG;True;27-09-1992;Chunsoft;Enix;not-recommended;complex;Classic JRPG;Story-driven RPG with extensive Japanese text and menus.
30;Holy Umbrella;ホーリーアンブレラ;Hōrī Anburera;placeholder_url;Super Nintendo;Action;True;25-09-1995;Earthly Soft;Naxat Soft;caution;simple;Action platformer;Some Japanese text in story but gameplay is mostly visual.
31;Daisenryaku Expert;大戦略エキスパート;Daisenryaku Ekisupāto;placeholder_url;Super Nintendo;Strategy;True;25-09-1992;SystemSoft Alpha;ASCII Entertainment;not-recommended;complex;Military strategy game;Complex strategy game with extensive Japanese menus and text.
32;Gambler Jikochuushinha;ギャンブラー自己中心派;Gyanburā Jikochūshinha;placeholder_url;Super Nintendo;Board Game;True;25-09-1992;Bits Laboratory;Palsoft;not-recommended;complex;Gambling simulation;Heavy Japanese text required for gameplay mechanics.
33;Ginga Eiyuu Densetsu;銀河英雄伝説;Ginga Eiyū Densetsu;placeholder_url;Super Nintendo;Strategy;True;25-09-1992;Advance Communication Company;Tokuma Shoten;not-recommended;complex;Space strategy game;Complex strategy game with heavy story elements in Japanese.
34;Sonic Blast Man;ソニックブラストマン;Sonikku Burasuto Man;placeholder_url;Super Nintendo;Action;False;25-09-1992;I.T.L;Taito;playable;simple;Action fighting game;Simple gameplay mechanics with minimal text required.
35;Go! Go! Dodge League;ゴー!ゴー!ドッジリーグ;Gō! Gō! Dojji Rīgu;placeholder_url;Super Nintendo;Sports;True;24-09-1993;Now Production;Pack-In-Video;playable;simple;Dodgeball sports game;Sports-based gameplay with intuitive controls.
36;Honkaku Mahjong: Tetsuman;本格麻雀 哲雀;Honkaku Mājan Tetsuman;placeholder_url;Super Nintendo;Board Game;True;24-09-1993;Syscom;Naxat Soft;not-recommended;complex;Traditional mahjong game;Requires knowledge of mahjong rules and Japanese text.
37;Super Nova;スーパーノヴァ;Sūpā Nova;placeholder_url;Super Nintendo;Shoot 'em up;False;24-09-1993;Taito;Taito;playable;simple;Space shooter;Action-focused gameplay with minimal text needed.
38;P.T.O.: Pacific Theater of Operations;提督の決断;Teitoku no Ketsudan;placeholder_url;Super Nintendo;Strategy;False;24-09-1992;Koei;Koei;caution;complex;Naval strategy game;Complex strategy elements but with English release available.
39;Angelique;アンジェリーク;Anjerīku;placeholder_url;Super Nintendo;Visual Novel;True;23-09-1994;Ruby Party;Koei;not-recommended;complex;Dating simulation RPG;Heavy story elements requiring Japanese language knowledge.
40;Bassin's Black Bass;スーパーブラックバス2;Sūpā Burakku Basu 2;placeholder_url;Super Nintendo;Sports;False;23-09-1994;Starfish;Hot-B;playable;simple;Fishing simulation;Simple mechanics with minimal text required.
41;Ghost Chaser Densei;ゴーストチェイサー電精;Gōsuto Cheisā Densei;placeholder_url;Super Nintendo;Action;True;23-09-1994;Winkysoft;Banpresto;playable;simple;Action beat 'em up;Combat-focused gameplay with minimal text requirements.
42;Mahjong Sengoku Monogatari;麻雀戦国物語;Mājan Sengoku Monogatari;placeholder_url;Super Nintendo;Board Game;True;23-09-1994;Khaos;Yojigen;not-recommended;complex;Historical themed mahjong;Requires Japanese knowledge and mahjong rules understanding.
